Location,"Lat,Long",Notes
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"Chicago, Illinois ","41.8781 , -87.6298",
"CINCINATTI, OH","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"Cincinnati, Ohio","39.1031, -84.51202",
"CLEVELAND, OH","41.505493, -81.681290",
"CLEVELAND, OH","41.505493, -81.681290",
"CLEVELAND, OH","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"Cleveland, Ohio","41.505493, -81.681290",
"CLEVELAND, OHIO ","41.505493, -81.681290",
"CLEVELAND, OHIO ","41.505493, -81.681290",
"CLEVELAND, OHIO ","41.505493, -81.681290",
"CLEVELAND, OHIO ","41.505493, -81.681290",
"CLEVELAND, OHIO ","41.505493, -81.681290",
"Corvallis, Montana","46.315, -114.114722",
"Dayton, Ohio","39.758948, -84.191607",
"Delta, Utah","39.353056, -112.573611",
"DENVER, CO","39.7391500,  -104.9847000",
"DENVER, CO","39.7391500,  -104.9847001",
"Denver, Colorado","39.7391500,  -104.9847002",
"Denver, Colorado","39.7391500,  -104.9847003",
"Denver, Colorado","39.7391500,  -104.9847004",
"Denver, Colorado","39.7391500,  -104.9847005",
"Denver, Colorado","39.7391500,  -104.9847006",
"Denver, Colorado","39.7391500,  -104.9847007",
"Denver, Colorado","39.7391500,  -104.9847008",
"Denver, Colorado","39.7391500,  -104.9847009",
"Denver, Colorado","39.7391500,  -104.9847010",
"Denver, Colorado","39.7391500,  -104.9847011",
"Denver, Colorado","39.7391500,  -104.9847012",
"Denver, Colorado
","39.7391500,  -104.9847013",
"Denver, Colorado
","39.7391500,  -104.9847014",
"DES MOINES, IA","41.619549, -93.598022",
DES PLAINES IL,"42.033363, -87.883400",
"Des Plaines, Illinois","42.033363, -87.883400",
"Des Plaines, Illinois","42.033363, -87.883400",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
"Detroit, Michigan","42.3314300,  -83.0457500
",
Eastern Oregon,"44.030154, -118.679152",Need approximate value
Eastern Oregon,"44.030154, -118.679152",
Eastern Oregon,"44.030154, -118.679152",
Eastern Oregon,"44.030154, -118.679152",
Eastern Oregon,"44.030154, -118.679152",
Eastern Oregon,"44.030154, -118.679152",
Eastern Oregon,"44.030154, -118.679152",
"Emmett, Idaho","43.872778, -116.495",
"Emmett, Idaho","43.872778, -116.496",
"Emmett, Idaho","43.872778, -116.497",
"Evanston, Illinois","42.0451, -87.6877",
"Fairfield, Ohio","39.3455, -84.5603",
"Fort Custer, Michigan","42.3344, -85.3003",
"FORT DOUGLAS, UT","40.765278, -111.833056",
"FORT DOUGLAS, UT","40.765278, -111.833057",
"FORT DOUGLAS, UT","40.765278, -111.833058",
"FORT DOUGLAS, UT","40.765278, -111.833059",
"FORT DOUGLAS, UT","40.765278, -111.833060",
"Fort Leavenworth, Kansas","39.3616, -94.9201",
"Ft. Snelling, Minnesota","44.8928, -93.1806",
"Gallup, New Mexico","35.5281, -108.7426",
"GARY, IN","41.5934, -87.3464",
"Gary, Indiana","41.5934, -87.3464",
"Gary, Indiana","41.5934, -87.3464",
"Gary, Indiana","41.5934, -87.3464",
"Gering, Nebraska","41.8264, -103.6578",
"Granada Center, Amache, Colorado","38.0494, -102.3286",
"GRANBY, CO","40.0861, -105.9395",
"GRANBY, CO","40.0861, -105.9395",
"GRANBY, CO","40.0861, -105.9395",
"GRANBY, CO","40.0861, -105.9395",
"GRANBY, CO","40.0861, -105.9395",
"Great Falls, Montana","47.4942, -111.2833",
"Great Falls, Montana","47.4942, -111.2833",
"Great Falls, Montana","47.4942, -111.2833",
"Great Northern Railroad, Spokane, Washington","47.658889, -117.425",
"Great Northern Railroad, Spokane, Washington","47.658889, -117.425",
"Great Northern Railroad, Spokane, Washington","47.658889, -117.425",
"Great Northern Railroad, Spokane, Washington","47.658889, -117.425",
"Great Northern Railroad, Spokane, Washington","47.658889, -117.425",
"Great Northern Railroad, Spokane, Washington","47.658889, -117.425",
"Greeley, Colorado","40.4233, -104.7091",
"Gross Pointe Woods, Michigan","42.435833, -82.898333",
"Gross Pointe Woods, Michigan","42.435833, -82.898333",
"Hines, Oregon","43.5640, -119.0810",
"Hunt, Idaho","42.678333, -114.25",
"Hunt, Idaho","42.678333, -114.25",
"Hunt, Idaho","42.678333, -114.25",
"Hunt, Idaho","42.678333, -114.25",
"Hunt, Idaho","42.678333, -114.25",
"Hunt, Idaho","42.678333, -114.25",
"Indianapolis, Indiana","39.791, -86.148",
"Indianapolis, Indiana","39.791, -86.148",
"Indianapolis, Indiana","39.791, -86.148",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
Japan,"36.2048, 138.2529",
"Junction City, Kansas","39.0286, -96.8314",
"Klamath Falls, Oregon","42.2249, -121.7817",
"Lamar, Colorado","38.0872, -102.6207",
"Lincoln, Nebraska","40.8258, -96.6852",
"Lincoln, Nebraska","40.8258, -96.6852",
"LOGAN, UT","41.7370, -111.8338",
"Logan, Utah","41.7370, -111.8338",
"Logan, Utah","41.7370, -111.8338",
"Logan, Utah","41.7370, -111.8338",
"Madras, Oregon","44.6335, -121.1295",
"Madras, Oregon","44.6335, -121.1295",
"MARENGO, IL","42.2875, -88.6531",
"Marshing, Idaho","43.5454, -116.8132",
"Marshing, Idaho","43.5454, -116.8132",
"McClellan Field, California","38.6636, -121.4025",
"Memphis, Tennessee","35.1495, -90.0490",
"Milwaukee, Wisconsin","43.0389, -87.9065",
"Milwaukee, Wisconsin","43.0389, -87.9065",
"Milwaukee, Wisconsin","43.0389, -87.9065",
"Milwaukee, Wisconsin","43.0389, -87.9065",
Minidoka,"42.7538, -113.4903",
Minidoka,"42.7538, -113.4903",
Minidoka,"42.7538, -113.4903",
Minidoka,"42.7538, -113.4903",
"Minidoka Center, Hunt, Idaho","42.7538, -113.4903",
"Minidoka Center, Hunt, Idaho","42.7538, -113.4903",
"Minidoka center, Hunt, Idaho","42.7538, -113.4903",
"Minidoka center, Hunt, Idaho","42.7538, -113.4903",
"Minidoka Relocation Center, Hunt, Idaho","42.7538, -113.4903",
"Minidoka Relocation Center, Hunt, Idaho","42.7538, -113.4903",
"MINNEAPOLIS, MIN","44.9778, -93.2650",
"MINNEAPOLIS, MIN","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota","44.9778, -93.2650",
"Minneapolis, Minnesota ","44.9778, -93.2650",
"Minneapolis, Minnesota ","44.9778, -93.2650",
"Minneapolis, Minnesota ","44.9778, -93.2650",
"Nampa, Idaho","43.574722, -116.563611",
"New York City, New York","40.7127, -74.0059",
"New York, New York","40.7127, -74.0059",
"New York, New York","40.7127, -74.0059",
"New York, New York","40.7127, -74.0059",
"New York, New York","40.7127, -74.0059",
"Omaha, Nebraska","41.25, -96",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Ontario, Oregon","44.026944, -116.968611",
"Palatine, Illinois","42.116944, -88.040556",
"Payette, Idaho","44.075278, -116.93",
"Payette, Idaho","44.075278, -116.93",
"Peoria, Illinois","40.720833, -89.609444",
"Peoria, Illinois","40.720833, -89.609444",
"Pleasant  Grove, Utah","40.370278, -111.731389",
"Pleasant  Grove, Utah","40.370278, -111.731389",
Pleasant Grove Utah,"40.370278, -111.731389",
"Portland, Oregon","45.52, -122.681944",
"Reno, Nevada","39.5296, 119.8138",
"Reno, Nevada","39.5296, 119.8138",
"Reno, Nevada","39.5296, 119.8138",
"Reno, Nevada","39.5296, 119.8138",
"Robinson, Arkinsas","34.7492, 92.2744",
"Rochester, Minnestoa","44.0121, 92.4802",
"Rockford, Illinois","42.2711, 89.0940",
"Rockford, Illinois","42.2711, 89.0940",
"Rockford, Illinois","42.2711, 89.0940",
"Rockford, Illinois","42.2711, 89.0940",
"Rockford, Illinois","42.2711, 89.0940",
"Rockford, Illinois","42.2711, 89.0940",
"Rockford, Illinois","42.2711, 89.0940",
"Roy, Utah","41.1616, 112.0263",
"Rupert, Idaho","42.6191, 113.6772",
"SAINT PAUL, MN","44.954445, -93.091301",
"SAINT PAUL, MN","44.954445, -93.091301",
"SALT LAKE CITY, UT","40.758701, -111.876183",
"SALT LAKE CITY, UT","40.758701, -111.876183",
"SHAKER HEIGHTS, OH","41.473942, -81.537064",
"SHAKER HEIGHTS, OH","41.473942, -81.537064",
"SHAKER HEIGHTS, OH","41.473942, -81.537064",
"SHAKOPEE, MN","44.7980200°,  -93.5269000°
",
"Sharps Park, California","37.6323, 122.4863",
"Spokane, Washington","47.658889, -117.425",
"Spokane, Washington","47.658889, -117.425",
"Spokane, Washington","47.658889, -117.425",
"Spokane, Washington","47.658889, -117.425",
"Spokane, Washington","47.658889, -117.425",
"Spokane, Washington","47.658889, -117.425",
"Spokane, Washington","47.658889, -117.425",
"St. Clair, Michigan","42.8209, 82.4860",
"St. Louis, Missouri","38.627222, -90.197778",
"St. Louis, Missouri","38.627222, -90.197778",
"St. Louis, Missouri","38.627222, -90.197778",
"St. Louis, Missouri","38.627222, -90.197778",
"St. Louis, Missouri","38.627222, -90.197778",
"St. Louis, Missouri","38.627222, -90.197778",
"ST. LOUIS, MO","38.627222, -90.197778",
"ST. LOUIS, MO","38.627222, -90.197778",
"St. Paul, Minnesota","44.9537, 93.0900",
"Toledo, Ohio","41.6639, 83.5552",
"Toledo, Ohio","41.6639, 83.5552",
Tule Lake,"41.9688, -121.5681",???
University of Denver,"39.678333, -104.962222",
"Vale, Oregon","43.9821, 117.2382",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Walla Walla, Washington","46.065, -118.330278",
"Washington, D.C.","38.8951100,  -77.0363700
",
"Washington, D.C.","38.8951100,  -77.0363700
",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Weiser, Idaho","44.2510, 116.9693",
"Widow Rock, Arizona","35.6521, -109.067",
